90;GP1088;L&T;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
91;GP1089;MWM;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
92;GP1090;PERKIN;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
93;GP1091;RUSTON;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
94;GP1092;SCANIA;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
95;GP1093;SIMPSONS;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
96;GP1094;VOLVO;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
97;GP1095;VOLVO-PENTA;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
98;GP1096;IVECO;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
99;GP1097;MAN;Core Assembly (CHRA);Genset, Earth movers, off highway;INDUSTRIAL;23
